short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service JE Carriers provides, which is a business type.",1,12.18
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a geographic location qualifier, specifying which particular area or neighborhood this Iglesia Fe y Esperanza serves or is located in.",1,2.74
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" clarifies that West Bradenton Baptist is a specific type of institution, which is essential information identifying what kind of place it is.",1,2.76
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" provides a specific location qualifier, identifying which particular West Norwood branch this nursery is referring to.",1,2.51
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" means ""engineering"" in Portuguese, which identifies a specific service or type of business rather than a location or disambiguation. This suggests that Recolast Ambiental Engenharia is likely offering engineering services.",1,3.44
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what kind of establishment this Virginia Coffee Roastery is, indicating it has a food service component beyond just coffee roasting.",1,2.74
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" refers to a specific type of facility or building associated with Clarkston High School, not a location or disambiguation. This indicates it is describing what kind of place the name represents.",1,3.22
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" provides a neighborhood or district qualifier, which is typical directory noise often appended to business names to specify their location within a larger place.",1,2.73
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" appears to be a numeric identifier or location code, which is typically noise as it does not provide meaningful information about the nature of the business or its specific type.",0,3.03
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" indicates an organizational affiliation or a specific branch of the insurance business, which does not provide additional geographic or business type information but helps to disambiguate among different entities.",1,3.1
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" includes two location qualifiers, Epsom and Kingston, which are used to specify the area where Bluebird Care is located. This fits the criteria for a location qualifier.",1,3.11
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" includes a specific location identifier (Aina Haina) along with broader geographic qualifiers (Honolulu, HI), which are typical in disambiguating place names.",1,3.24
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" specifies the types of instruments offered by Gary Ritter Violin, thus providing information about what kind of business it is.",1,2.77
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name that provides location context, typical of how business names are disambiguated by specifying their geographic location.",1,2.7
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" includes a street name (Colony Way) and location details (Madison, MS), which are typical geographic identifiers used to specify the exact branch or store.",1,3.21
