short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" directly describes what kind of service JE Carriers provides, making it essential descriptive information about what KIND of business this is.",1,23.81
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a geographic location qualifier, specifically a neighborhood or district name within the city, making it a location that disambiguates which Iglesia Fe y Esperanza is being referenced.",1,63.23
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" directly describes what kind of place this is, making it a business type or category of establishment.",1,47.27
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a geographic location qualifier, specifically a neighborhood name in London.",1,54.14
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" is a Portuguese word that means engineering, indicating what kind of services or expertise this business offers.",1,47.03
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" directly describes what kind of business this is, indicating that Virginia Coffee Roastery also operates as a dining establishment.",1,47.86
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" describes a specific facility or building type within Clarkston High School, which is essential information about what kind of physical space this is.",1,37.56
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a neighborhood or district name, acting as a location qualifier to specify which Mint House Greenville is being referenced, rather than adding essential information about what kind of place this is.",1,46.08
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numerical identifier for a specific store location, which is not providing any semantic value beyond identifying this as a particular unit of The UPS Store chain.",0,56.85
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,noise,medium,"The extra content ""group"" suggests an organizational affiliation or a type of entity, but it doesn't specify what kind of business Clifton And Lewis is or which location this is —it seems to be describing a classification that could apply to many businesses.",0,51.44
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" is a listing of geographic locations (cities or districts), indicating specific areas served by this branch of Bluebird Care, without specifying what kind of business it is.",1,52.83
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,disambiguation,high,"The extra content ""aina haina honolulu hi"" is listing a specific geographic location where this pizzeria can be found, which serves as a disambiguation of the specific branch or store within the larger organization.",0,54.25
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,noise,high,"The extra content ""viola cello"" is a list of services offered by Gary Ritter Violin, but it does not describe what kind of business this is or provide any disambiguation information. It appears to be listing the instruments they offer for instruction or sale.",0,38.02
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name that disambiguates which studio or establishment ""Pole Dance avec Moi"" refers to, acting as a location qualifier.",1,14.49
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" is a specific street address combined with a city and state, making this a location that disambiguates which Schlotzsky's is being referenced.",1,13.92
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a geographic location, specifically a city name that serves as a qualifier for West Coast Hifi, suggesting it's a specific branch or outlet of this business.",1,12.12
