short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service JE Carriers provides, which falls under the business_type category.",1,4.38
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a location qualifier, specifying which branch or instance of Iglesia Fe y Esperanza it refers to.",1,2.63
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes the specific type of institution West Bradenton Baptist is, which falls under the business_type category.",1,2.55
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a location qualifier, specifying the neighborhood or city area where the day nursery is located.",1,2.53
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,disambiguation,high,"The extra content ""engenharia"" identifies a specific service or role, which falls under the disambiguation category.",0,2.59
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes an additional service provided by Virginia Coffee Roastery, making it a business type that specifies what kind of establishment this is.",1,2.8
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,disambiguation,high,"The extra content ""natatorium"" specifies a particular facility or department within Clarkston High School, which is not a business type or location but rather disambiguates the specific part of the school.",0,3.39
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a geographic qualifier indicating a specific area within Greenville.",1,2.43
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" appears to be a numeric identifier or location qualifier, which typically does not provide meaningful disambiguation beyond an address or branch number.",0,3.06
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" disambiguates that Clifton and Lewis Insurance operates as a specific branch or division within a larger organization, which fits the disambiguation category.",1,3.26
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" is a location qualifier, specifying the branches or areas where Bluebird Care operates.",1,2.74
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" includes specific location details (city, state), which falls under the category of location.",1,2.76
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"The extra content ""viola cello"" lists additional instruments offered by Gary Ritter Violin, which provides more information about the services provided but is not a location or business type.",0,3.02
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name, which indicates that it is providing additional location information.",1,2.5
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" provides a street address along with city and state, which are location qualifiers.",1,2.65
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a location qualifier, specifying which branch or specific instance of West Coast Hi-Fi is being referred to.",1,2.58
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a location qualifier indicating the specific city where Vape Haus is located.",1,2.59
